bag_timestamp,gps_timestamp_sec,gps_timestamp_nanosec,latitude,longitude,altitude
1.79E+18,1787901843,458954112,12.652424,80.1398149,15.54923106
1.79E+18,1787901843,708962048,12.652442,80.1398144,15.55926493
1.79E+18,1787901843,958968448,12.6524598,80.1398138,15.57929879
1.79E+18,1787901844,208976128,12.6524777,80.1398132,15.58933282
1.79E+18,1787901844,458983296,12.6524956,80.1398125,15.5793672
1.79E+18,1787901844,708992512,12.6525136,80.1398118,15.57940175
1.79E+18,1787901844,958999680,12.6525315,80.1398112,15.58943578
1.79E+18,1787901845,209005312,12.6525496,80.1398106,15.59947017
1.79E+18,1787901845,459016320,12.6525675,80.1398101,15.62950385
1.79E+18,1787901845,709029632,12.6525855,80.1398097,15.62953736
1.79E+18,1787901845,959037568,12.6526034,80.1398091,15.60957139
1.79E+18,1787901846,209044224,12.6526215,80.1398085,15.59960577
1.79E+18,1787901846,459055744,12.6526395,80.139808,15.60963962
1.79E+18,1787901846,709060096,12.6526574,80.1398075,15.6296733
1.79E+18,1787901846,959067520,12.6526753,80.139807,15.66970698
1.79E+18,1787901847,209070336,12.6526932,80.1398065,15.67974065
1.79E+18,1787901847,459078272,12.6527111,80.139806,15.65977432
1.79E+18,1787901847,709084928,12.652729,80.1398054,15.65980834
1.79E+18,1787901847,959094912,12.6527469,80.1398048,15.67984235
1.79E+18,1787901848,209102080,12.6527648,80.1398042,15.69987637
1.79E+18,1787901848,459107968,12.6527829,80.1398035,15.70991108
1.79E+18,1787901848,709112576,12.6528009,80.1398028,15.71994562
1.79E+18,1787901848,959120768,12.6528189,80.1398021,15.71998015
1.79E+18,1787901849,209128960,12.6528368,80.1398012,15.71001519
1.79E+18,1787901849,459136128,12.6528547,80.1398001,15.68005093
1.79E+18,1787901849,709150464,12.6528725,80.1397983,15.67008889
1.79E+18,1787901849,959159424,12.6528899,80.1397957,15.66012891
1.79E+18,1787901850,209167616,12.6529069,80.1397923,15.66017096
1.79E+18,1787901850,459174272,12.6529236,80.139788,15.67021559
1.79E+18,1787901850,709175296,12.6529399,80.1397828,15.6702626
1.79E+18,1787901850,959185024,12.6529557,80.139777,15.69031079
1.79E+18,1787901851,209194496,12.652971,80.1397703,15.72036119
1.79E+18,1787901851,459201920,12.652986,80.1397628,15.72041381
1.79E+18,1787901851,709212160,12.6530007,80.1397546,15.74046831
1.79E+18,1787901851,959218816,12.6530152,80.1397459,15.76052417
1.79E+18,1787901852,209225472,12.6530296,80.1397366,15.79058192
1.79E+18,1787901852,459232384,12.6530437,80.139727,15.83064017
1.79E+18,1787901852,709238784,12.6530577,80.139717,15.85069962
1.79E+18,1787901852,959246720,12.6530713,80.1397066,15.88075973
1.79E+18,1787901853,209253632,12.6530847,80.1396958,15.87082086
1.79E+18,1787901853,459257216,12.653098,80.1396846,15.88088319
1.79E+18,1787901853,709257216,12.6531111,80.1396731,15.8909462
1.79E+18,1787901853,959263616,12.6531242,80.1396614,15.90100989
1.79E+18,1787901854,209273856,12.6531373,80.1396496,15.91107392
1.79E+18,1787901854,459282304,12.6531503,80.1396376,15.87113846
1.79E+18,1787901854,709287680,12.6531632,80.1396255,15.84120317
1.79E+18,1787901854,959296384,12.653176,80.1396132,15.81126838
1.79E+18,1787901855,209304576,12.6531888,80.1396009,15.7513336
1.79E+18,1787901855,459312256,12.6532016,80.1395884,15.74139949
1.79E+18,1787901855,709312256,12.6532142,80.1395758,15.73146538
1.79E+18,1787901855,959316352,12.6532269,80.139563,15.71153213
1.79E+18,1787901856,209322496,12.6532395,80.1395503,15.72159835
1.79E+18,1787901856,459331456,12.6532521,80.1395376,15.70166457
1.79E+18,1787901856,709338624,12.6532647,80.139525,15.72173044
1.79E+18,1787901856,959344768,12.6532773,80.1395124,15.74179631
1.79E+18,1787901857,209350656,12.6532899,80.1394997,15.72186253
1.79E+18,1787901857,459360128,12.6533024,80.1394868,15.70192925
1.79E+18,1787901857,709372160,12.6533149,80.1394738,15.69199631
1.79E+18,1787901857,959380608,12.6533271,80.1394606,15.70206352
1.79E+18,1787901858,209387520,12.6533393,80.1394474,15.69213073
1.79E+18,1787901858,459395200,12.6533514,80.1394341,15.66219811
1.79E+18,1787901858,709409792,12.6533635,80.139421,15.67226479
1.79E+18,1787901858,959419008,12.6533757,80.1394079,15.68233165
1.79E+18,1787901859,209420288,12.653388,80.1393947,15.70239902
1.79E+18,1787901859,459430016,12.6534002,80.1393814,15.69246656
1.79E+18,1787901859,709435904,12.6534126,80.139368,15.6925348
1.79E+18,1787901859,959438464,12.6534251,80.1393546,15.71260322
1.79E+18,1787901860,209442816,12.6534375,80.1393413,15.70267111
1.79E+18,1787901860,459450752,12.6534499,80.139328,15.71273899
1.79E+18,1787901860,709458176,12.6534624,80.1393147,15.72280705
1.79E+18,1787901860,959464576,12.6534749,80.1393014,15.74287511
1.79E+18,1787901861,209470464,12.6534872,80.139288,15.74294315
1.79E+18,1787901861,459480448,12.6534995,80.1392746,15.67301119
1.79E+18,1787901861,709487360,12.6535119,80.1392613,15.62307906
1.79E+18,1787901861,959491968,12.6535243,80.139248,15.63314693
1.79E+18,1787901862,209501696,12.6535367,80.1392348,15.70321445
1.79E+18,1787901862,459506304,12.653549,80.1392217,15.68328145
1.79E+18,1787901862,709513984,12.6535615,80.1392088,15.60334811
1.79E+18,1787901862,959519616,12.6535741,80.1391958,15.57341528
1.79E+18,1787901863,209525248,12.6535867,80.1391827,15.5934828
1.79E+18,1787901863,459532928,12.6535993,80.1391696,15.60355032
1.79E+18,1787901863,709543168,12.6536119,80.1391563,15.60361852
1.79E+18,1787901863,959552384,12.6536244,80.1391428,15.61368724
1.79E+18,1787901864,209558528,12.6536369,80.1391294,15.6237556
1.79E+18,1787901864,459566208,12.6536493,80.1391158,15.69382447
1.79E+18,1787901864,709571328,12.6536616,80.1391021,15.72389351
1.79E+18,1787901864,959578752,12.6536741,80.1390885,15.66396255
1.79E+18,1787901865,209586176,12.6536864,80.139075,15.63403089
1.79E+18,1787901865,459597440,12.6536988,80.1390614,15.60409975
1.79E+18,1787901865,714604864,12.6537115,80.1390477,15.59416948
1.79E+18,1787901865,959613056,12.6537238,80.1390347,15.54423609
1.79E+18,1787901866,209618176,12.6537362,80.1390215,15.55430357
1.79E+18,1787901866,459623040,12.6537485,80.1390084,15.56437051
1.79E+18,1787901866,709629952,12.6537607,80.1389954,15.65443694
1.79E+18,1787901866,959642752,12.653773,80.1389825,15.68450319
1.79E+18,1787901867,209658112,12.6537853,80.1389695,15.60456979
1.79E+18,1787901867,459666048,12.6537974,80.1389561,15.5846374
1.79E+18,1787901867,709680640,12.6538095,80.1389426,15.57470536
1.79E+18,1787901867,959689088,12.6538217,80.1389291,15.58477349
1.79E+18,1787901868,209694464,12.653834,80.1389156,15.64484179
1.79E+18,1787901868,459703424,12.6538465,80.1389021,15.70491045
1.79E+18,1787901868,709711360,12.6538592,80.1388889,15.77497843
1.79E+18,1787901868,959720320,12.6538719,80.1388756,15.78504675
1.79E+18,1787901869,209730048,12.6538843,80.1388622,15.73511487
1.79E+18,1787901869,459736960,12.6538967,80.1388487,15.68518334
1.79E+18,1787901869,709746432,12.653909,80.138835,15.68525232
1.79E+18,1787901869,959756416,12.6539212,80.1388214,15.65532077
1.79E+18,1787901870,209763072,12.6539333,80.1388078,15.64538904
1.79E+18,1787901870,459769472,12.6539453,80.1387943,15.66545678
1.79E+18,1787901870,714782272,12.6539576,80.1387806,15.65552575
1.79E+18,1787901870,959788928,12.6539694,80.1387675,15.64559175
1.79E+18,1787901871,209794048,12.6539816,80.1387541,15.6756595
1.79E+18,1787901871,459809408,12.6539937,80.1387405,15.71572776
1.79E+18,1787901871,709815296,12.6540058,80.1387268,15.73579635
1.79E+18,1787901871,959822976,12.6540179,80.1387132,15.7258646
1.79E+18,1787901872,209829888,12.6540297,80.1386995,15.72593266
1.79E+18,1787901872,459838080,12.6540411,80.1386857,15.70600035
1.79E+18,1787901872,709845760,12.6540523,80.1386715,15.67606906
1.79E+18,1787901872,959852672,12.6540631,80.1386571,15.64613774
1.79E+18,1787901873,209867776,12.6540735,80.1386424,15.65620674
1.79E+18,1787901873,459879552,12.6540837,80.1386276,15.64627573
1.79E+18,1787901873,709883392,12.6540934,80.1386125,15.67634486
1.79E+18,1787901873,959893120,12.6541028,80.1385972,15.70641414
1.79E+18,1787901874,209903360,12.6541119,80.1385814,15.70648461
1.79E+18,1787901874,459911808,12.6541207,80.1385655,15.69655488
1.79E+18,1787901874,709918720,12.6541293,80.1385496,15.6866248
1.79E+18,1787901874,959933824,12.6541377,80.1385337,15.68669436
1.79E+18,1787901875,209938944,12.6541459,80.1385178,15.67676356
1.79E+18,1787901875,459942784,12.654154,80.1385016,15.67683361
